acceleration	throttle lag
debrisSlivers	slivers alongside them
debrisSoftFade	soft fade (m)
debrisSpin	tumble (turns/s)
debrisSpread	off the axis
debrisThrow	thrown at (m/s)
deployDistance	appears ahead by (m)
deployShake	arrival rumble
deployTime	deploys over (s)
dissolveDelay	pieces lie for (s)
dissolveTime	burns away, seconds
dissolveVapour	vapour puffs/s
distance	distance
distortion	heat distortion
divePitch	dive pitch (rad)
domeBody	clear glass body
domeDelay	stands at (s)
domeFootGlow	lit at the foot
domeOpacity	opacity
domeRefraction	refraction
domeRimGlow	rim light
domeRimPower	fresnel
domeRiseTime	assembles over (s)
domeSink	sunk into the floor
domeSpin	lattice turns (rad/s)
domeSwirl	swirl
domeSwirlScale	swirl scale
domeSwirlSpeed	swirl speed
downwash	floor dust (particles/s)
downwashSize	floor dust size
drift	wander (m)
driftRise	vertical wander
driftWaves	swing (rad/m)
dropGlow	droplet glow
dropGravity	droplet gravity
dropLifetime	droplet lifetime
dropOpacity	droplet opacity
dropRadius	born within (m)
dropRate	droplets/second
dropSize	droplet size
dropStretch	droplet stretch
dustAmount	floating dust
edge	outline thickness
edgeGlow	outline glow
emberGlow	glow
emberLife	ember life (s)
emberRate	embers/s lifting
emberRise	ember lift
emberSize	ember size
emission	emission
emissionCurve	radiance exponent
emissionRate	emission rate
envIntensity	env (IBL)
envStrength	reflections
eruptionEmbers	embers thrown up
eruptionFlash	screen flash
eruptionLight	light punch
eruptionShake	shake
explosionIntensity	impact intensity
exposure	exposure
fadeTime	breaks over (s)
featherBurn	feather edges flicker
fieldLight	the pyre
fieldLightRadius	pyre light radius
fill	interior fill
fillFalloff	fill falloff
fireDelay	first beam after
fireFlash	screen flash
fireRange	engages within (m)
fireShake	recoil shake
fireballArc	lob
fireballBulge	lobes
fireballBuoyancy	buoyancy
fireballDensity	density
fireballDetach	tears into puffs
fireballFlow	gas hangs back
fireballHalo	halo
fireballHoming	homing (fraction left/s)
fireballIntensity	emission
fireballLight	hit light
fireballNoiseScale	turbulence scale
fireballPlume	plume
fireballShred	fringe shred
fireballSize	head radius (m)
fireballSoftness	softness
fireballSoot	soot
fireballSpeed	speed (m/s)
fireballSteps	march steps
fireballTail	wake (m)
fireballTailHeat	wake heat
fireballVortex	roll-up
fireballWakeSpread	wake swell
fireballWakeWidth	wake pinch
flameRise	flames climb (m/s)
flameScale	flame scale (1/m)
flameStrength	flames move the heat
flapSpeed	flap rate
flareChargeGain	swell on charge
flareCore	white point
flareCoreSize	point size
flareDelay	flash ignites at
flareDiagonals	diagonal rays
flareFlicker	flicker
flareHalo	halo
flareHaloFalloff	halo falloff
flareHeight	height (m)
flareIgnite	ignition pop
flareIntensity	intensity
flareOpacity	opacity
flareRayLength	ray length
flareRaySharp	ray sharpness
flareRays	long rays
flareRing	ring
flareRingRadius	ring radius
flareSize	size (m)
flareSpin	ray spin
flareStreak	lens streak
flareStreakLength	streak length
flareStrength	flares as it acts
flareTime	flash lights over
flashStrength	impact flash
flightHeight	cruise height (m)
floorFreezeTime	freezes over (s)
floorFrost	frost opacity
floorFrostScale	frost scale
floorNormalScale	relief strength
floorOpacity	sheet opacity
floorPool	light pool
floorPulse	breath
floorReach	frost reaches (× radius)
floorRoughness	roughness
floorSheen	sheen
floorSparkle	glitter
floorTexTint	tint toward floor
floorTextureScale	tile size (m)
fogFar	fog far
fogNear	fog near
footGlow	foot ring
fov	field of view
freezeDelay	first body at (s)
freezeReach	reach (× radius)
freezeStagger	outer bodies later by (s)
freezeTime	frost climbs over (s)
fresnel	fresnel strength
frostRough	frost roughness
gain	gain
gasBurst	gout as the floor breaks
gasDelay	starts at (s)
gasLifetime	lifetime
gasOpacity	opacity
gasRadius	born at (× radius)
gasRate	rate
gasRise	rise
gasSize	size
gasSpeed	seeps out at (m/s)
gasSwirl	coil speed
gasSwirlExpand	coil widens by
gasTurbulence	turbulence
gemBaseDark	obsidian foot
gemBirthFade	birth cools over
gemBirthGlow	birth flash
gemBodyGlow	body glow
gemChargeGlow	charge glow
gemCleave	cleavage planes
gemCleaveScale	cleavage scale
gemCoreBleed	lit by the flash
gemCoreBleedRadius	flash light reach
gemDepthTint	depth tint
gemDispersion	dispersion
gemEdgeGlow	edge glow
gemEnv	reflections
gemFacetSharp	facet lift
gemFresnel	rim gain
gemFresnelPower	rim power
gemGlint	glints
gemGlintScale	glint scale
gemGlintSpeed	glint drift
gemGlow	emissive master
gemOpacity	opacity
gemRoughness	roughness
gemScreenKey	screen key
gemTipFrost	tip frost
gemTipStart	frost starts at
gemVein	corruption glow
gemVeinBase	thins toward tip
gemVeinFlow	corruption climb
gemVeinScale	corruption scale
gemVeinSharp	corruption sharpness
glareFlare	strike: glare blows open
glareIntensity	glare intensity
glareRays	glare ray reach, x
glareSize	glare at the point (m)
glassClearcoat	glass coat
glassEnv	reflections
glassGlow	venom light in it
glassRim	...at the graze
glassRough	roughness
glintChance	glint chance
glintCoreTight	glint core tightness
glintDrift	left behind
glintGlow	glint glow
glintIntensity	glint intensity
glintLife	glint life (s)
glintLifetime	glint lifetime
glintRadius	born within (m)
glintRate	glint rate
glintRaySharp	glint ray thinness
glintRays	glint rays
glintRise	glint lift
glintSize	glint reach, x the shard
glintSoftFade	glint soft fade (m)
glintSpeed	glint speed
glintSpin	star turns (rad/s)
glintTurbulence	turbulence
glow	glow intensity
glowHeight	height (m)
glowIntensity	intensity
glowPulse	breath
glowPulseSpeed	breath speed
glowRadius	reach (of field radius)
grain	film grain
groundEmbers	embers in the crust
growTime	grows out of the hand over
handDeadZone	hand dead zone (ndc)
handForward	hand forward
handFullRange	hand full stick (ndc)
handHeight	hand height
handSide	hand lateral
headLength	head length
headWidth	head half-width
headlightReach	lights ahead by (m)
height	hover height
hemiIntensity	hemisphere
hitFlash	hit flash
hitShake	hit shake
holdShake	hold rumble
holdTime	held as glass (s)
hoverAmplitude	bob (m)
hoverFrequency	bobs/s
iceClearcoat	glass coat
iceDispersion	rim dispersion
iceEdge	facet hairline
iceEdgeWidth	hairline (px)
iceEnv	probe in the facets
iceGloss	highlight tightness
iceGlow	cold light in it
iceRim	...at the graze
iceRimPower	rim tightness
iceRough	clear roughness
iceScreenKey	key: sun → camera-relative
iceSunSpec	sun highlight
igniteFlash	ignition flash
igniteShake	landing shake
impactBeads	beads out of the wound
impactGlints	glints out of it
impactRadius	burst (m)
impactScorch	mark under it (m)
impactShake	impact shake
impactSparks	impact sparks
kickBurst	gout of fire (m)
kickHeight	stops above the chest (m)
kickRange	kicks within (m)
kickShake	shake
kickTime	dive and back (s)
lanceAround	scales around
lanceBurstDrag	strike: drag
lanceBurstHeat	strike: flash
lanceBurstSpeed	strike: blown off at (m/s)
lanceBurstSpin	strike: tumble (turns/s)
lanceFlare	sharpness (>1 needle)
lanceFlutter	they shiver
lanceFlutterSpeed	shiver speed
lanceFraySpread	rear scales stand off (m)
lanceFrayStart	frays from
lanceIntensity	intensity
lanceJitter	placement jitter
lanceLead	point ahead of the front (m)
lanceLength	point to rear (m)
lanceLift	rear scales lift (rad)
lanceLong	scale length, x width
lanceOpacity	opacity
lanceRadius	rear radius (m)
lanceRolloff	body roll-off (keeps it matter)
lanceRows	rows of scales
lanceScale	scale size (m)
lanceSoftFade	soft fade (m)
lanceTilt	scale lean (rad)
lanceTipGlow	light at the point
lanceTipPow	how tight that is
lanceVein	vein of light
lanceVeinFlow	pulses along it
lanceVeinSpeed	pulse speed
lanceVeinWidth	vein width
landGlints	glints thrown up
landLight	light punch
landMotes	frost off the rim
landShake	shake
landSpores	spores thrown up
laserAim	aims up the body
laserFlash	flash
laserInterval	interval
laserLife	on screen for
laserRange	range (m)
laserShake	shake
laserVolley	targets per shot
laserWarmup	warmup
laserWidth	thickness
latticeBig	large (fraction)
latticeBigScale	large, x
latticeBurst	strike: thrown
latticeBurstDrag	strike: drag
latticeBurstLife	strike: they last
latticeBurstThrow	strike: thrown at (m/s)
latticeCount	in the trail
latticeDrag	drag
latticeEdgeGlow	lines
latticeFall	settles at (m/s)
latticeFill	body
latticeLead	laid down ahead by (m)
latticeLife	one lasts
latticeRadius	off the axis (m)
latticeSize	flake radius (m)
latticeSizeVariance	size spread
latticeSoft	body softness
latticeSoftFade	soft fade (m)
latticeSpin	spins (turns/s)
latticeSpread	drifts out at (m/s)
latticeTumble	flips (turns/s)
latticeTwinkle	twinkle
latticeTwinkleSpeed	twinkle speed
launchHeight	appears at (m)
lean	lean into speed (rad)
leanRate	lean lag
leash	leash (m)
lick	rim drags them up
lifetime	hold time
lift	lift
ligaments	strands
lightFlicker	flicker depth
lightFlickerSpeed	flicker speed
lightGutter	gutter
lightGutterSpeed	gutter speed
lightHeight	height, floor to flash
lightIntensity	crystal light
lightPulse	owned by the pulse
lightRadius	bird light radius
lightShimmer	crystal light shimmer
lightShimmerSpeed	shimmer speed
liner	inner liner
lockCone	fires within (rad)
lockTime	lock time (s)
maxDistance	max distance
maxPolar	max pitch
maxSpeed	top speed (m/s)
meltDelay	pieces lie for (s)
meltTime	melt over (s)
meltVapour	vapour puffs/s
minDistance	min distance
minPolar	min pitch
minRadius	no nearer than
minRange	min range
mistBurst	gout as the floor breaks
mistDelay	mist starts at
mistLifetime	lifetime
mistOpacity	opacity
mistRate	rate
mistRise	rise
mistSize	size
mistSpeed	rolls out at (m/s)
mistSwirl	coil speed
mistSwirlExpand	coil widens by
mistTurbulence	turbulence
moteBright	bright motes (fraction)
moteBrightIntensity	bright mote intensity
moteBrightSize	bright mote size (m)
moteCount	puffs and motes
moteDrag	drag
moteDrift	left behind
moteErode	eaten by noise
moteFall	snow fall
moteGlow	glow
moteGrow	swells by, x
moteInnerGlow	lit from inside
moteLead	laid down ahead by (m)
moteLife	one lasts
moteLifetime	lifetime
moteNoiseScale	noise scale
moteNoiseSpeed	noise speed
moteOpacity	opacity
moteRadius	born within (m)
moteRate	motes/second
moteRise	climbs at (m/s)
moteSize	puff size (m)
moteSizeVariance	size spread
moteSoftFade	soft fade (m)
moteSpeed	speed
moteSpin	turns (turns/s)
moteTurbulence	turbulence
moteTwinkleSpeed	twinkle speed
muzzleIntensity	muzzle intensity
muzzleLength	muzzle flame (m)
muzzleLight	muzzle light
muzzleSize	muzzle flash (m)
muzzleStreaks	muzzle flame streaks
navLights	nav lights
navSize	nav light size (m)
noise	break-up
noiseFrequency	noise frequency
noiseScale	break-up scale
noiseSpeed	noise speed
normalScale	normal strength
obsidianAmbient	ambient
obsidianBands	facet steps
obsidianEdge	facet hairline
obsidianEdgeWidth	hairline (px)
obsidianGloss	highlight tightness
obsidianPosterize	pushed toward the steps
obsidianRim	silhouette rim
obsidianRimPower	rim tightness
obsidianScreenKey	key: sun \u2192 camera-relative
obsidianSpecular	glass highlight
onset	flesh goes after
opacity	opacity
paintShow	painted plumage shows
palette	radiator → palette
panDeadZone	dead zone
panRange	pan range
panRecenter	recentre hold
panSpeed	pan speed
particleCount	count
particleLifetime	lifetime
particleSize	size
particleSpeed	speed
plateBias	cell bias
plateBreakTime	breaks over (s)
plateCells	slabs
plateDepth	slab depth
plateGap	seam gap
plateHeave	heave
plateRagged	ragged rim
plateReach	reach (× radius)
plateRumble	tremor (m)
plateTilt	tilt (rad)
plateWallDark	wall shade
pulse	pulse
pulseDepth	pulse depth
pulseIntensity	pulse intensity
pulsePeriod	pulse every (s)
pulseRate	pulse speed
pulseReach	pulse reach (× radius)
pulseSpeed	pulse speed
radius	ring radius
randomness	randomness
range	kill ring radius (m)
rangeArc	range arc
rate	body burnt / second
reach	reach brightness
reachDashGap	dash gap
reachDashes	dashes
reachLead	lead marker
reachSpin	dash creep
reachWidth	reach width
recallTime	recalls over (s)
recoil	recoil rock (rad)
respawnDelay	respawn delay
retarget	between bodies (s)
reticleGlow	reticle glow
reticleSize	reticle size (m)
reveal	snap-out time
revealGlow	molten edge glow
revealWidth	molten edge (m)
ribbonBow	converges at the ends
ribbonChaos	thrown off axis (m)
ribbonChaosScale	chaos scale
ribbonChaosSpeed	chaos speed
ribbonCoil	turns over the span
ribbonCore	core thread
ribbonFiber	fibres
ribbonFiberScale	fibre scale
ribbonFiberSpeed	fibre speed
ribbonFlatten	vertical half of the bow
ribbonFlicker	stutter
ribbonFlickerScale	stutter scale
ribbonFlickerSpeed	stutter speed
ribbonHeadGlow	head end runs hotter
ribbonHeadRadius	bow at the head, x
ribbonHem	lit hem width
ribbonHemGlow	hem light
ribbonInner	violet through the shadow
ribbonIntensity	intensity
ribbonLead	run past the head (m)
ribbonOpacity	opacity
ribbonPulse	charge along it
ribbonPulseFreq	charges over it
ribbonPulseSpeed	charge speed
ribbonRadius	bow at the tail (m)
ribbonSharp	edge falloff
ribbonSoft	edge falloff
ribbonSoftFade	soft fade (m)
ribbonSpan	reach back (m)
ribbonSpin	roll (turns/s)
ribbonStraight	run straight (fraction)
ribbonStraightChaos	straight: wander
ribbonStraightRadius	straight: orbit radius
ribbonStraightWidth	straight: width
ribbonSwell	where it is fattest
ribbonTailFade	dissolves at
ribbonTwist	how far the silk rolls
ribbonTwistFace	width when edge-on
ribbonTwistSpeed	twist speed
ribbonTwistTurns	twists over the span
ribbonWander	wander (m)
ribbonWanderScale	wander scale
ribbonWanderSpeed	wander speed
ribbonWidth	width (m)
ribbonWidthBow	points at both ends
ribbonWidthTip	width at the tail
ribbons	ribbons
rimAzimuth	rim azimuth
rimElevation	rim elevation
rimIntensity	rim intensity
rimPower	rim power
rimStrength	rim
ringFill	interior wash
ringGlow	band glow
ringIntensity	intensity
ringOpacity	opacity
ringPulse	hot pulses
ringReach	reach (× radius)
ringSoftness	softness
ringSpeed	ring speed
ringSpikeReach	flare reach
ringSpikes	flares
ringSweep	radar sweep
ringSweepSpeed	sweep (rev/s)
ringTickLength	tick length (m)
ringTickSpin	tick spin (rev/s)
ringTickWidth	tick duty
ringTicks	ticks
ringTime	runs out over (s)
ringWidth	band width (m)
rings	contour rings
riseDistance	settles over (m)
riseFrom	rises from (m)
riseTime	rises over (s)
round	corner rounding
rounds	rounds
rumble	creep rumble
runeGlow	glow
runeGlyphBand	band height (m)
runeGlyphFlicker	glyph flicker
runeGlyphGlow	glyph glow
runeGlyphSeat	band seat
runeGlyphStrokes	strokes kept
runeGlyphSweep	read head
runeGlyphSweepSpeed	head speed
runeGlyphSweepWidth	head width
runeGlyphWeight	stroke weight
runeGlyphs	glyphs
runeGrain	wash grain
runeGrainScale	grain scale
runeHeight	hover height
runeHex	hexagon
runeOpacity	opacity
runeOrbitRadius	circle radius
runeOrbits	point circles
runeRailGlow	rail glow
runeRailHub	hub
runeRailInner	inner rail
runeRailMid	star rail
runeRailOuter	outer rail
runeRailTwin	twin rail
runeRailWidth	rail width (m)
runeSpin	ring spin
runeSpokeGlow	spoke glow
runeSpokeWidth	spoke width (m)
runeSpokes	spokes
runeStar	hexagram
runeStarSpin	star spin
runeStarWidth	star width (m)
runeTickCount	tick count
runeTickLength	tick length
runeTickWidth	tick width
runeTicks	graduations
runeTime	rune opens over
runeWash	inner wash
runeWashFalloff	wash falloff
saturation	saturation
scorchDark	darkening
scorchRadius	reach (of field radius)
scrollSpeed	scroll speed
seamGlow	seam light
seedArc	seed lob (m)
seedBeads	beads off the hand
seedHeight	seed leaves at (m)
seedSize	seed comet (m)
seedTrail	seed embers/s
separation	apart, metres
serpentEmbers	embers/s off each head
serpentFloorGlow	floor glow
serpentFloorWidth	floor pool (m)
serpentFlow	flow
serpentGrowTime	grow out over (s)
serpentHeadGlow	head glow
serpentHeight	rise and dip (m)
serpentIntensity	intensity
serpentLength	trail (of a lap)
serpentLift	spine height (m)
serpentNoiseScale	noise scale
serpentRadius	orbit (of field radius)
serpentRise	rise
serpentShred	shred
serpentSpeed	laps/s
serpentWaves	bends per lap
serpentWeave	S-bend swing
serpentWidth	width (m)
serpents	serpents
shaderIntensity	shader intensity
shadowBias	shadow bias
shadowRadius	shadow softness
shaftWidth	shaft half-width
shakeDuration	shake decay
shardBack	light through the shadow side
shardBackPower	how tight that is
shardBands	facet steps
shardBurst	strike: thrown
shardBurstDrag	strike: drag
shardBurstLife	strike: they last
shardBurstSize	strike: size (m)
shardBurstThrow	strike: thrown at (m/s)
shardCount	gems
shardDelay	start lifting at (s)
shardDrag	drag
shardFlash	flash when struck off
shardFlashLife	that flash lasts
shardForward	along the heading
shardGravity	gravity
shardGrowIn	snaps to size over
shardHeight	shard height (m)
shardIntensity	intensity
shardLead	comes off ahead by (m)
shardLean	shard lean (rad)
shardLife	in the air (s)
shardLong	slenderest, x
shardPosterize	pushed toward the steps
shardRadius	born within (m)
shardRise	rise (m/s)
shardRolloff	body roll-off
shardSeat	shard ring, x footprint
shardShrinkOut	shrink starts at
shardSize	size (m)
shardSizeVariance	size spread
shardSoftFade	soft fade (m)
shardSpin	tumble (rad/s)
shardSplinters	splinters alongside them
shardSpread	off the axis
shardThrow	thrown at (m/s)
shardTip	light through the points
shardTipStart	points start at
shardTwinkle	facet glint blinks
shardTwinkleSpeed	blink speed
shatterBounce	bounce
shatterChips	fragments on the way out
shatterChunks	pieces
shatterFriction	friction
shatterGap	gap between pieces (m)
shatterGravity	gravity
shatterLift	thrown up (m/s)
shatterLight	light punch
shatterOut	out of the circle
shatterShake	shake
shatterSpeed	thrown at (m/s)
shatterSpin	tumble (rad/s)
silkBow	converges at the ends
silkCoil	turns over the span
silkErode	eaten into streamers
silkFiberScale	streamer scale
silkFlatten	vertical half of the bow
silkFlow	streamers run back at
silkHeadGlow	head end runs brighter
silkHeadRadius	bow at the head, x
silkLead	start ahead of the front (m)
silkLit	lit side vs shadow side
silkOpacity	opacity
silkRadius	bow at the tail (m)
silkSoft	edge falloff
silkSoftFade	soft fade (m)
silkSpan	reach back (m)
silkSpin	roll (turns/s)
silkTailErode	... more toward the tail
silkWander	wander (m)
silkWanderScale	wander scale
silkWanderSpeed	wander speed
silkWidth	width (m)
silkWidthBow	points at both ends
silks	silks
size	height (m)
skirtBreathe	breathes
skirtFlare	top leans out
skirtHeat	heat
skirtHeight	height (m)
skirtIntensity	intensity
skirtNoiseScale	noise scale
skirtOpacity	opacity
skirtRadius	ring (of field radius)
skirtRise	tongues climb (m/s)
skirtRiseTime	stands up in (s)
skirtShred	shred
skirtWaveDepth	wave depth
skirtWaveSpeed	waves/s
skirtWisp	wisps
smokeOpacity	smoke opacity
smokeRate	smoke/s
snap	snap overshoot
softness	edge softness
sparCount	spars
sparGlow	glow
sparMaxArc	longest arc (rad)
sparMinArc	shortest arc (rad)
sparSpeed	light runs at
sparWidth	thickness
sparkBurst	strike: thrown
sparkBurstDrag	strike: drag
sparkBurstLife	strike: they last
sparkBurstSize	strike: size (m)
sparkBurstThrow	strike: thrown at (m/s)
sparkCoreTight	core tightness
sparkCount	in the trail
sparkDrag	drag
sparkGravity	gravity
sparkIntensity	intensity
sparkLead	shed ahead by (m)
sparkLife	one lasts
sparkLongRays	long-rayed (fraction)
sparkRadius	born within (m)
sparkRayLength	ray reach, x
sparkRaySharp	ray thinness
sparkRays	ray brightness
sparkSize	size (m)
sparkSizeVariance	size spread
sparkSoftFade	soft fade (m)
sparkThrow	thrown at (m/s)
sparkTwinkle	twinkle
sparkTwinkleSpeed	twinkle speed
speed	cast speed
spireHeight	spire height (m)
spitFlash	flash off the beak (m)
spitLight	spit light
spitShake	spit shake
splashCurl	tip curl
splashDropLife	droplet life
splashDropSize	droplet size
splashDropSpeed	droplet speed
splashDrops	droplets
splashFall	crown falls over
splashFingerDepth	finger depth
splashFingers	fingers
splashFlare	standing lean
splashFresnel	rim gain
splashGlow	glow
splashHeight	crown height (m)
splashHold	crown hangs for
splashLean	falling lean
splashOpacity	opacity
splashRadius	crown seat, x footprint
splashRipple	floor ring, x footprint
splashRise	crown rises over
splashTear	crest tear
splashWobble	wall wander
splashWobbleScale	wander scale
spokes	radial cracks
sporeGlow	glow
sporeLife	life (s)
sporeRate	spores/s
sporeRise	lift
sporeSize	size
spotIntensity	pool on the floor
spotLight	floor light
spotLightRadius	floor light radius
spread	dispersion (rad)
spreadTime	scorch spreads over (s)
stain	violet takes over / second
stainIntensity	floor mark intensity
